2025-08-27 00:00:13,031 INFO    MainThread:1337021 [wandb_init.py:setup_run_log_directory():647] Logging user logs to /home/ubuntu/SVR/wandb/run-20250827_000013-6ium1pvl/logs/debug.log
2025-08-27 00:00:13,032 INFO    MainThread:1337021 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to /home/ubuntu/SVR/wandb/run-20250827_000013-6ium1pvl/logs/debug-internal.log
2025-08-27 00:00:13,032 INFO    MainThread:1337021 [wandb_init.py:init():761] calling init triggers
2025-08-27 00:00:13,032 INFO    MainThread:1337021 [wandb_init.py:init():766] wandb.init called with sweep_config: {}
config: {'gamma1': 0.05, 'gamma2': 0.2, 'gamma3': 0.5, 'trial_id': 1, 'seed': 1, 'env': 'abiomed', '_wandb': {}}
2025-08-27 00:00:13,032 INFO    MainThread:1337021 [wandb_init.py:init():773] finishing previous run: nbpshu69
2025-08-27 00:00:13,032 INFO    MainThread:1337021 [wandb_run.py:_finish():2112] finishing run aysintumay-uc-san-diego/SVR_hpo/nbpshu69
2025-08-27 00:00:13,032 INFO    MainThread:1337021 [wandb_run.py:_atexit_cleanup():2340] got exitcode: 0
2025-08-27 00:00:13,033 INFO    MainThread:1337021 [wandb_run.py:_restore():2322] restore
2025-08-27 00:00:13,033 INFO    MainThread:1337021 [wandb_run.py:_restore():2328] restore done
2025-08-27 00:00:13,832 INFO    MainThread:1337021 [wandb_run.py:_footer_history_summary_info():3956] rendering history
2025-08-27 00:00:13,832 INFO    MainThread:1337021 [wandb_run.py:_footer_history_summary_info():3988] rendering summary
2025-08-27 00:00:13,833 INFO    MainThread:1337021 [wandb_run.py:_footer_sync_info():3917] logging synced files
2025-08-27 00:00:13,833 INFO    MainThread:1337021 [wandb_init.py:init():784] starting backend
2025-08-27 00:00:13,834 INFO    MainThread:1337021 [wandb_init.py:init():788] sending inform_init request
2025-08-27 00:00:13,835 INFO    MainThread:1337021 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-08-27 00:00:13,835 INFO    MainThread:1337021 [wandb_init.py:init():798] backend started and connected
2025-08-27 00:00:13,838 INFO    MainThread:1337021 [wandb_init.py:init():891] updated telemetry
2025-08-27 00:00:13,901 INFO    MainThread:1337021 [wandb_init.py:init():915] communicating run to backend with 90.0 second timeout
2025-08-27 00:00:14,404 INFO    MainThread:1337021 [wandb_init.py:init():990] starting run threads in backend
2025-08-27 00:00:14,614 INFO    MainThread:1337021 [wandb_run.py:_console_start():2375] atexit reg
2025-08-27 00:00:14,614 INFO    MainThread:1337021 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-08-27 00:00:14,615 INFO    MainThread:1337021 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-08-27 00:00:14,615 INFO    MainThread:1337021 [wandb_run.py:_redirect():2315] Redirects installed.
2025-08-27 00:00:14,616 INFO    MainThread:1337021 [wandb_init.py:init():1032] run started, returning control to user process
2025-08-27 00:00:14,904 INFO    MainThread:1337021 [wandb_init.py:setup_run_log_directory():647] Logging user logs to /home/ubuntu/SVR/wandb/run-20250827_000014-clivb8m1/logs/debug.log
2025-08-27 00:00:14,904 INFO    MainThread:1337021 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to /home/ubuntu/SVR/wandb/run-20250827_000014-clivb8m1/logs/debug-internal.log
2025-08-27 00:00:14,904 INFO    MainThread:1337021 [wandb_init.py:init():761] calling init triggers
2025-08-27 00:00:14,905 INFO    MainThread:1337021 [wandb_init.py:init():766] wandb.init called with sweep_config: {}
config: {'gamma1': 0.05, 'gamma2': 0.2, 'gamma3': 1, 'trial_id': 2, 'seed': 1, 'env': 'abiomed', '_wandb': {}}
2025-08-27 00:00:14,905 INFO    MainThread:1337021 [wandb_init.py:init():773] finishing previous run: 6ium1pvl
2025-08-27 00:00:14,905 INFO    MainThread:1337021 [wandb_run.py:_finish():2112] finishing run aysintumay-uc-san-diego/SVR_hpo/6ium1pvl
2025-08-27 00:00:14,905 INFO    MainThread:1337021 [wandb_run.py:_atexit_cleanup():2340] got exitcode: 0
2025-08-27 00:00:14,906 INFO    MainThread:1337021 [wandb_run.py:_restore():2322] restore
2025-08-27 00:00:14,906 INFO    MainThread:1337021 [wandb_run.py:_restore():2328] restore done
2025-08-27 00:00:15,976 INFO    MainThread:1337021 [wandb_run.py:_footer_history_summary_info():3956] rendering history
2025-08-27 00:00:15,976 INFO    MainThread:1337021 [wandb_run.py:_footer_history_summary_info():3988] rendering summary
2025-08-27 00:00:15,976 INFO    MainThread:1337021 [wandb_run.py:_footer_sync_info():3917] logging synced files
