2025-08-27 00:55:26,237 INFO    MainThread:1352360 [wandb_init.py:setup_run_log_directory():647] Logging user logs to /home/ubuntu/SVR/wandb/run-20250827_005526-ozhxeoh2/logs/debug.log
2025-08-27 00:55:26,238 INFO    MainThread:1352360 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to /home/ubuntu/SVR/wandb/run-20250827_005526-ozhxeoh2/logs/debug-internal.log
2025-08-27 00:55:26,238 INFO    MainThread:1352360 [wandb_init.py:init():761] calling init triggers
2025-08-27 00:55:26,238 INFO    MainThread:1352360 [wandb_init.py:init():766] wandb.init called with sweep_config: {}
config: {'gamma1': [0.05, 0.1], 'gamma2': [0.2, 0.5], 'gamma3': [0.1, 0.5], 'trial_id': 2, 'seed': 1, 'env': 'abiomed', '_wandb': {}}
2025-08-27 00:55:26,238 INFO    MainThread:1352360 [wandb_init.py:init():773] finishing previous run: yxn67gvf
2025-08-27 00:55:26,238 INFO    MainThread:1352360 [wandb_run.py:_finish():2112] finishing run aysintumay-uc-san-diego/SVR_hpo/yxn67gvf
2025-08-27 00:55:26,239 INFO    MainThread:1352360 [wandb_run.py:_atexit_cleanup():2340] got exitcode: 0
2025-08-27 00:55:26,239 INFO    MainThread:1352360 [wandb_run.py:_restore():2322] restore
2025-08-27 00:55:26,239 INFO    MainThread:1352360 [wandb_run.py:_restore():2328] restore done
2025-08-27 00:55:30,435 INFO    MainThread:1352360 [wandb_run.py:_footer_history_summary_info():3956] rendering history
2025-08-27 00:55:30,436 INFO    MainThread:1352360 [wandb_run.py:_footer_history_summary_info():3988] rendering summary
2025-08-27 00:55:30,436 INFO    MainThread:1352360 [wandb_run.py:_footer_sync_info():3917] logging synced files
2025-08-27 00:55:30,437 INFO    MainThread:1352360 [wandb_init.py:init():784] starting backend
2025-08-27 00:55:30,437 INFO    MainThread:1352360 [wandb_init.py:init():788] sending inform_init request
2025-08-27 00:55:30,438 INFO    MainThread:1352360 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-08-27 00:55:30,438 INFO    MainThread:1352360 [wandb_init.py:init():798] backend started and connected
2025-08-27 00:55:30,440 INFO    MainThread:1352360 [wandb_init.py:init():891] updated telemetry
2025-08-27 00:55:30,531 INFO    MainThread:1352360 [wandb_init.py:init():915] communicating run to backend with 90.0 second timeout
2025-08-27 00:55:31,884 INFO    MainThread:1352360 [wandb_init.py:init():990] starting run threads in backend
2025-08-27 00:55:32,172 INFO    MainThread:1352360 [wandb_run.py:_console_start():2375] atexit reg
2025-08-27 00:55:32,173 INFO    MainThread:1352360 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-08-27 00:55:32,173 INFO    MainThread:1352360 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-08-27 00:55:32,173 INFO    MainThread:1352360 [wandb_run.py:_redirect():2315] Redirects installed.
2025-08-27 00:55:32,175 INFO    MainThread:1352360 [wandb_init.py:init():1032] run started, returning control to user process
2025-08-27 00:55:45,566 INFO    MainThread:1352360 [wandb_init.py:setup_run_log_directory():647] Logging user logs to /home/ubuntu/SVR/wandb/run-20250827_005545-mbiz5q7h/logs/debug.log
2025-08-27 00:55:45,566 INFO    MainThread:1352360 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to /home/ubuntu/SVR/wandb/run-20250827_005545-mbiz5q7h/logs/debug-internal.log
2025-08-27 00:55:45,566 INFO    MainThread:1352360 [wandb_init.py:init():761] calling init triggers
2025-08-27 00:55:45,566 INFO    MainThread:1352360 [wandb_init.py:init():766] wandb.init called with sweep_config: {}
config: {'gamma1': [0.05, 0.1], 'gamma2': [0.2, 0.5], 'gamma3': [0.1, 0.5], 'trial_id': 3, 'seed': 1, 'env': 'abiomed', '_wandb': {}}
2025-08-27 00:55:45,566 INFO    MainThread:1352360 [wandb_init.py:init():773] finishing previous run: ozhxeoh2
2025-08-27 00:55:45,567 INFO    MainThread:1352360 [wandb_run.py:_finish():2112] finishing run aysintumay-uc-san-diego/SVR_hpo/ozhxeoh2
2025-08-27 00:55:45,567 INFO    MainThread:1352360 [wandb_run.py:_atexit_cleanup():2340] got exitcode: 0
2025-08-27 00:55:45,568 INFO    MainThread:1352360 [wandb_run.py:_restore():2322] restore
2025-08-27 00:55:45,568 INFO    MainThread:1352360 [wandb_run.py:_restore():2328] restore done
2025-08-27 00:55:47,564 INFO    MainThread:1352360 [wandb_run.py:_footer_history_summary_info():3956] rendering history
2025-08-27 00:55:47,564 INFO    MainThread:1352360 [wandb_run.py:_footer_history_summary_info():3988] rendering summary
2025-08-27 00:55:47,564 INFO    MainThread:1352360 [wandb_run.py:_footer_sync_info():3917] logging synced files
